node_id,segment,lat,lon,target_sog_knots,actual_sog_knots,required_sws_knots,clamped_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
58,2,22.514117856639604,64.16327405760156,11.990467392735658,11.990467392735658,12.027587890625,12.027587890625,11.999999999999659,1.0007950154862,1.2293780428399832,722.1989590832887,60.32172196266268,81.93140340163652,2,0.8799999952316284,0.29157668545230675,118.08357758378872
59,2,22.41991724781013,64.35402574382555,11.990467392735658,11.990467392735658,11.9012451171875,11.9012451171875,11.999999999999773,1.0007950154862095,1.1910418855932083,734.1989590832885,61.32251697814889,83.12244528722972,1,0.8799999952316284,0.19438444087623777,118.15647371572837
60,2,22.325493044139545,64.54451851676734,11.990467392735658,11.990467392735658,11.73095703125,11.73095703125,12.000000000000455,1.0007950154862664,1.1406441220613168,746.198959083289,62.32331199363516,84.26308940929104,1,0.8799999952316284,0.2749011274547865,118.22898104127734
61,2,22.230846591807826,64.73475332694801,11.990467392735658,11.990467392735658,11.9140625,11.9140625,11.999999999999886,1.0007950154862189,1.1948942103051743,758.1989590832889,63.32410700912138,85.45798361959622,2,0.8799999952316284,0.09719222043811888,118.30109982763896
62,2,22.135979234091778,64.92473113252721,11.990467392735658,11.990467392735658,12.130126953125,12.130126953125,11.999999999999886,1.0007950154862189,1.26108939421433,770.1989590832887,64.3249020246076,86.71907301381054,1,0.8399999737739563,0.49558503967639433,118.37283034766627
63,2,22.040892311351588,65.11445289918954,11.990467392735658,11.990467392735658,12.130126953125,12.130126953125,12.000000000000114,1.000795015486238,1.261089394214354,782.1989590832889,65.32569704009383,87.9801624080249,1,0.8399999737739563,0.29157668545230675,118.44417287971834
64,2,21.945587161018047,65.30391960003178,11.990467392735658,11.990467392735658,11.8536376953125,11.8536376953125,12.000000000000114,1.000795015486238,1.1768057496158226,794.198959083289,66.32649205558006,89.15696815764072,1,0.8199999928474426,0.29157668545230675,118.51512770756263
65,2,21.85006511758026,65.4931322154511,11.990467392735656,11.990467392735656,11.807861328125,11.807861328125,15.044995602609788,1.2547463839253419,1.4583923791198543,809.2439546858988,67.5812384395054,90.61536053676058,2,0.800000011920929,0.38876888175247554,118.58569512024215
66,3,21.73,65.73,11.990467392735656,11.990467392735656,12.1282958984375,12.1282958984375,11.999999999999886,1.000795015486219,1.2605183923339898,821.2439546858986,68.58203345499162,91.87587892909457,2,0.7799999713897705,0.0,138.5954599747081
67,3,21.5800287738682,65.8721489652029,11.990467392735656,11.990467392735656,12.3773193359375,12.3773193359375,12.000000000000341,1.000795015486257,1.3397680675929737,833.243954685899,69.58282847047788,93.21564699668754,2,0.7799999713897705,0.38876888175247554,138.64791544713336
68,3,21.42993717840571,66.0140037877382,11.990467392735656,11.990467392735656,12.05322265625,12.05322265625,11.999999999999432,1.000795015486181,1.237255441324344,845.2439546858984,70.58362348596405,94.45290243801189,2,0.7599999904632568,0.2173284314106144,138.6999169596002
69,3,21.27972638091531,66.15556708753768,11.990467392735656,11.990467392735656,12.0001220703125,12.0001220703125,12.000000000000682,1.0007950154862855,1.220975153899352,857.2439546858991,71.58441850145034,95.67387759191124,2,0.7599999904632568,0.0,138.75146626712936
70,3,21.129397541561023,66.29684147385288,11.990467392735656,11.990467392735656,12.071533203125,12.071533203125,11.999999999999773,1.0007950154862095,1.2429027087079638,869.2439546858989,72.58521351693655,96.9167803006192,2,0.7400000095367432,0.09719222043811888,138.80256510984813
71,3,20.97895181344168,66.43782954531436,11.990467392735656,11.990467392735656,12.06787109375,12.06787109375,11.999999999999886,1.000795015486219,1.2417718834257117,881.2439546858988,73.58600853242277,98.15855218404491,1,0.7400000095367432,0.09719222043811888,138.8532152129319
72,3,20.828390342664054,66.57853388999213,11.990467392735656,11.990467392735656,12.06787109375,12.06787109375,12.000000000000455,1.0007950154862666,1.2417718834257705,893.2439546858992,74.58680354790903,99.40032406747068,1,0.7400000095367432,0.09719222043811888,138.9034182866985
