node_id,segment,lat,lon,planned_sog_knots,actual_sog_knots,planned_sws_knots,actual_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
37,1,24.566366532065913,60.039813005289865,13,11.77673008013778,14.22119140625,13.0,11.999999999999318,1.018958566456244,1.5804882911760838,463.740496349036,36.31956411167185,54.81576999985194,2,0.8999999761581421,1.29589637978803,122.25288580078437
38,1,24.4595933099833,60.22550432119334,13,12.006044233753446,13.9923095703125,13.0,12.00000000000017,0.9994965674259068,1.5503011347961104,475.74049634903616,37.31906067909776,56.366071134648045,2,0.9200000166893005,1.0259179136923013,122.32992910129684
39,1,24.352593654690743,60.41088075726735,13,12.24724374853701,13.75244140625,13.0,12.00000000000017,0.9798122946180137,1.519769213560698,487.74049634903633,38.298872973715774,57.885840348208745,2,0.9599999785423279,0.7559395119644395,122.40652697074967
40,1,24.24536906873355,60.59594374253017,13,12.28640424301348,13.7066650390625,13.0,18.45846273425218,1.5023486423823609,2.330265936923717,506.1989590832885,39.80122161609813,60.21610628513246,3,0.9800000190734863,0.7019438187452938,122.48268013609407
41,2,24.08,60.88,13,12.29541036751213,13.6993408203125,13.0,11.999999999999659,0.975973931842647,1.5138155981503567,518.1989590832882,40.77719554794078,61.72992188328282,3,1.059999942779541,0.7019438187452938,116.78462699446389
42,2,23.989809204796092,61.07529066933396,13,12.199247763114418,13.7945556640625,13.0,12.000000000000341,0.9836672090785367,1.5257485019919548,530.1989590832885,41.76086275701932,63.255670385274776,3,1.100000023841858,0.8099352051835853,116.86416762538227
43,2,23.899371501471848,61.27030755008517,13,12.371500777149187,13.6224365234375,13.0,12.0,0.9699712440841964,1.5045049372166037,542.1989590832885,42.73083400110352,64.76017532249138,3,1.1799999475479126,0.5939524966748693,116.94331589621184
44,2,23.80868828291025,61.46505144459315,13,12.238023168893847,13.7451171875,13.0,12.000000000000114,0.9805505214683095,1.5209142639401085,554.1989590832886,43.71138452257183,66.28108958643149,4,1.2200000286102295,0.647948189894015,117.02207195824641
45,2,23.717760939415,61.659523164914106,13,12.348245828910208,13.6370849609375,13.0,11.999999999999886,0.9717979514065881,1.5073383100636335,566.1989590832885,44.68318247397841,67.78842789649512,4,1.2599999904632568,0.5399568034557235,117.10043597070249
46,2,23.626590858686132,61.853723532691404,13,11.963416337279174,14.0234375,13.0,12.000000000000227,1.0030579611784516,1.5558251485405952,578.1989590832887,45.68624043515686,69.34425304503571,5,1.2799999713897705,0.37796975598221977,117.1784081005308
47,2,23.53517942579639,62.047653379027025,13,12.08724913366359,13.9007568359375,13.0,11.999999999999773,0.9927817212420298,1.53988585774753,590.1989590832885,46.679022156398894,70.88413890278325,5,1.2999999523162842,0.26997840172786175,117.25598852233519
48,2,23.443528023168206,62.24131354435372,13,12.100528576425507,13.887939453125,13.0,12.000000000000114,0.9916922161052332,1.5381959459409373,602.1989590832886,47.67071437250413,72.42233484872419,5,1.2999999523162842,0.3239740949470075,117.33317741817065
49,2,23.351638030551467,62.43470487830827,13,11.812391962843964,14.1717529296875,13.0,11.999999999999886,1.0158823071352563,1.5757167607159677,614.1989590832885,48.686596679639386,73.99805160944015,5,1.2599999904632568,0.5939524966748693,117.40997497747226
50,2,23.259510825001833,62.627828239605364,13,12.413459887840299,13.572998046875,13.0,11.999999999999886,0.9666926149859782,1.4994195146376812,626.1989590832884,49.65328929462537,75.49747112407783,4,1.2400000095367432,0.5939524966748693,117.48638139685761
51,2,23.167147780859867,62.820684495912666,13,12.54247948112916,13.4466552734375,13.0,11.999999999999886,0.9567486251864742,1.4839955710514867,638.1989590832883,50.61003791981184,76.98146669512931,4,1.1799999475479126,0.5399568034557235,117.56239688004223
52,2,23.074550269730683,63.01327452372654,13,12.735275816700694,13.2598876953125,13.0,12.000000000000568,0.9422646335043717,1.461529712265228,650.1989590832889,51.55230255331621,78.44299640739455,4,1.100000023841858,0.5399568034557235,117.63802163765806
53,2,22.98171966046439,63.20559920824887,13,12.735960651937315,13.258056640625,13.0,12.000000000000114,0.9422139662605465,1.461451123215341,662.198959083289,52.494516519576756,79.90444753060989,4,1.059999942779541,0.5399568034557235,117.71325588717349
54,2,22.888657319137042,63.39765944326465,13,12.614618934588107,13.3770751953125,13.0,11.999999999999886,0.9512772492157497,1.4755090182680637,674.1989590832889,53.445793768792505,81.37995654887796,4,1.0399999618530273,0.5399568034557235,117.7880998527073
55,2,22.795364609032386,63.589456131020675,13,12.736393393847901,13.258056640625,13.0,12.000000000000227,0.9421819528436224,1.4614014677805915,686.1989590832891,54.387975721636124,82.84135801665855,4,0.9800000190734863,0.3239740949470075,117.86255376492204
56,2,22.701842890624125,63.78099018210505,13,12.911284731758602,13.0877685546875,13.0,11.999999999999204,0.9294195155097261,1.4416058809558572,698.1989590832883,55.31739523714585,84.28296389761441,3,0.9599999785423279,0.16198704747350376,117.93661786091513
57,2,22.608093521558843,63.97226251532762,13,13.0,12.9559326171875,12.9559326171875,12.000000000000796,0.9230769230769843,1.417257084610925,710.1989590832891,56.240472160222836,85.70022098222533,2,0.9599999785423279,0.10799136230034137,118.01029238402994
58,2,22.514117856639604,64.16327405760156,13,13.0,12.7874755859375,12.7874755859375,11.999999999999659,0.9230769230768968,1.3626899327778375,722.1989590832887,57.163549083299735,87.06291091500317,1,0.9399999976158142,0.21598272460068274,118.08357758378872
59,2,22.41991724781013,64.35402574382555,13,13.0,12.906494140625,12.906494140625,11.999999999999773,0.9230769230769056,1.4010946040971717,734.1989590832885,58.08662600637664,88.46400551910034,2,0.9399999976158142,0.21598272460068274,118.15647371572837
60,2,22.325493044139545,64.54451851676734,13,13.0,12.9119873046875,12.9119873046875,12.000000000000455,0.9230769230769581,1.4028843353619156,746.198959083289,59.009702929453596,89.86688985446226,2,0.9200000166893005,0.10799136230034137,118.22898104127734
61,2,22.230846591807826,64.73475332694801,13,12.941545401769519,13.0584716796875,13.0,11.999999999999886,0.9272462930400187,1.4382350347010984,758.1989590832889,59.93694922249362,91.30512488916335,2,0.9200000166893005,0.10799136230034137,118.30109982763896
